ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME
10001,"Afognak Lake, AK",10056,"Kodiak Island, AK"
10006,"Kizhuyak, AK",10056,"Kodiak Island, AK"
10011,"Peach Springs, AZ",10661,"Boulder City, NV"
10011,"Peach Springs, AZ",10661,"Boulder City, NV"
10011,"Peach Springs, AZ",10661,"Boulder City, NV"
10014,"Fairbanks/Ft. Wainwright, AK",11630,"Fairbanks, AK"
10016,"Hallo Bay, AK",10056,"Kodiak Island, AK"
10016,"Hallo Bay, AK",12721,"Larsen Bay, AK"
10016,"Hallo Bay, AK",12184,"Homer, AK"
10031,"Kantishna, AK",11630,"Fairbanks, AK"
10033,"Alpine, AK",14709,"Deadhorse, AK"
10033,"Alpine, AK",10299,"Anchorage, AK"
10040,"Pogo Mines, AK",11630,"Fairbanks, AK"
10042,"Kiluda Bay, AK",10056,"Kodiak Island, AK"
10056,"Kodiak Island, AK",12721,"Larsen Bay, AK"
10056,"Kodiak Island, AK",10278,"Lazy Bay, AK"
10056,"Kodiak Island, AK",10324,"Amook Bay, AK"
10056,"Kodiak Island, AK",12705,"Kitoi Bay, AK"
10056,"Kodiak Island, AK",12743,"Moser Bay, AK"
10056,"Kodiak Island, AK",12771,"Olga Bay, AK"
10056,"Kodiak Island, AK",12782,"Port Williams, AK"
10056,"Kodiak Island, AK",12785,"Port Bailey, AK"
10056,"Kodiak Island, AK",12869,"Zachar Bay, AK"
10056,"Kodiak Island, AK",10056,"Kodiak Island, AK"
10056,"Kodiak Island, AK",12721,"Larsen Bay, AK"
10056,"Kodiak Island, AK",10001,"Afognak Lake, AK"
10056,"Kodiak Island, AK",10006,"Kizhuyak, AK"
10056,"Kodiak Island, AK",10016,"Hallo Bay, AK"
10056,"Kodiak Island, AK",10042,"Kiluda Bay, AK"
10056,"Kodiak Island, AK",10063,"Big Bay, AK"
10056,"Kodiak Island, AK",10089,"Red Fox Bay, AK"
10056,"Kodiak Island, AK",10278,"Lazy Bay, AK"
10056,"Kodiak Island, AK",10324,"Amook Bay, AK"
10056,"Kodiak Island, AK",11299,"Danger Bay, AK"
10056,"Kodiak Island, AK",11513,"Eagle Harbor, AK"
10056,"Kodiak Island, AK",12705,"Kitoi Bay, AK"
10056,"Kodiak Island, AK",12771,"Olga Bay, AK"
10056,"Kodiak Island, AK",12785,"Port Bailey, AK"
10056,"Kodiak Island, AK",13888,"Onion Bay, AK"
10056,"Kodiak Island, AK",13934,"Port Lions, AK"
10056,"Kodiak Island, AK",15091,"Seal Bay, AK"
10063,"Big Bay, AK",10056,"Kodiak Island, AK"
10065,"Silver Salmon Creek, AK",12184,"Homer, AK"
10085,"Chinitna Bay, AK",12184,"Homer, AK"
10089,"Red Fox Bay, AK",10056,"Kodiak Island, AK"
10135,"Allentown/Bethlehem/Easton, PA",13230,"Harrisburg, PA"
